"","Commodity","Year","Metric.Tons"
"299","Oil, Olive",2004,2000
"300","Oil, Peanut",2004,57000
"301","Oil, Rapeseed",2004,378000
"302","Oil, Soybean",2004,8782000
"303","Oil, Sunflowerseed",2004,120000
"304","Orange Juice",2004,693977
"305","Oranges, Fresh",2004,8420000
"306","Pears, Fresh",2004,795837
"307","Pecans, Inshell Basis",2004,84277
"308","Pistachios, Inshell Basis",2004,157400
"309","Potato Products, Frozen",2004,3856776
"310","Poultry, Meat, Turkey",2004,2441000
"311","Raisins",2004,251562
"312","Rice, Milled",2004,7462000
"313","Rye",2004,210000
"314","Sorghum",2004,11523000
"315","Strawberries, Fresh",2004,1028339
"316","Sugar, Centrifugal",2004,7847000
"317","Tangerines/Mandarins, Fresh",2004,367000
"318","Walnuts, Inshell Basis",2004,294834
"319","Wheat",2004,58738000
"320","Almonds, Shelled Basis",2005,415040
"321","Apples, Fresh",2005,5261960
"322","Asparagus, Fresh",2005,83000
"323","Avocados, Fresh",2005,283405
"324","Barley",2005,4613000
"325","Coffee, Green",2005,8760
"326","Corn",2005,282311000
"327","Cotton",2005,5201434.4826
"328","Dairy, Milk, Fluid",2005,80286000
"329","Filberts, Inshell Basis",2005,33566
"330","Fresh Apricots",2005,74390
"331","Fresh Cherries,(Sweet&Sour)",2005,350170
"332","Fresh Peaches & Nectarines",2005,1365400
"333","Fresh Plums & Prunes",2005,431820
"334","Grapefruit, Fresh",2005,1118000
"335","Grapes, Fresh",2005,903202
"336","Honey",2005,78910.59871
"337","Lemons/Limes, Fresh",2005,889000
"338","Macadamia, Inshell Basis",2005,27216
"339","Meat, Beef and Veal",2005,11318000
"340","Meat, Chicken",2005,16104000
"341","Meat, Swine",2005,9392000
"342","Oats",2005,1667000
"343","Oil, Cottonseed",2005,435000
"344","Oil, Olive",2005,3000
"345","Oil, Peanut",2005,82000
"346","Oil, Rapeseed",2005,421000
"347","Oil, Soybean",2005,9250000
"348","Oil, Sunflowerseed",2005,251000
"349","Orange Juice",2005,709473
"350","Oranges, Fresh",2005,8394000
"351","Pears, Fresh",2005,745446
"352","Pecans, Inshell Basis",2005,127110
"353","Pistachios, Inshell Basis",2005,128400
"354","Potato Products, Frozen",2005,3999000
"355","Poultry, Meat, Turkey",2005,2464000
"356","Raisins",2005,324319
"357","Rice, Milled",2005,7113000
"358","Rye",2005,191000
"359","Sorghum",2005,10005000
"360","Strawberries, Fresh",2005,1019449
"361","Sugar, Centrifugal",2005,7146000
"362","Tangerines/Mandarins, Fresh",2005,435000
"363","Walnuts, Inshell Basis",2005,322100
"364","Wheat",2005,57280000
"365","Almonds, Shelled Basis",2006,508023
"366","Apples, Fresh",2006,5351610
"367","Avocados, Fresh",2006,135500
"368","Barley",2006,3984000
"369","Coffee, Green",2006,10320
"370","Corn",2006,282303000
"371","Cotton",2006,4730932.18386
"372","Dairy, Milk, Fluid",2006,82582000
"373","Filberts, Inshell Basis",2006,39010
"374","Fresh Apricots",2006,40370
"375","Fresh Cherries,(Sweet&Sour)",2006,386510
"376","Fresh Peaches & Nectarines",2006,1171000
"377","Fresh Plums & Prunes",2006,684920
"378","Grapefruit, Fresh",2006,1476000
"379","Grapes, Fresh",2006,723561
"380","Honey",2006,69960.81442
"381","Lemons/Limes, Fresh",2006,724000
"382","Macadamia, Inshell Basis",2006,26300
"383","Meat, Beef and Veal",2006,11981000
"384","Meat, Chicken",2006,16159000
"385","Meat, Swine",2006,9632000
"386","Oats",2006,1559000
"387","Oil, Cottonseed",2006,408000
"388","Oil, Olive",2006,1000
"389","Oil, Peanut",2006,97000
"390","Oil, Rapeseed",2006,461000
"391","Oil, Soybean",2006,9294000
"392","Oil, Sunflowerseed",2006,294000
"393","Orange Juice",2006,665039
"394","Oranges, Fresh",2006,7369000
"395","Pears, Fresh",2006,754000
"396","Pecans, Inshell Basis",2006,313890
"397","Pistachios, Inshell Basis",2006,107955
"398","Potato Products, Frozen",2006,3841932
"399","Poultry, Meat, Turkey",2006,2545000
"400","Raisins",2006,280774
"401","Rice, Milled",2006,6267000
"402","Rye",2006,183000
"403","Sorghum",2006,7738000
"404","Sugar, Centrifugal",2006,6741000
"405","Tangerines/Mandarins, Fresh",2006,378000
"406","Walnuts, Inshell Basis",2006,317515
"407","Wheat",2006,49316000
"408","Almonds, Shelled Basis",2007,630493
"409","Apples, Fresh",2007,4154195
"410","Avocados, Fresh",2007,170000
"411","Barley",2007,5030000
"412","Coffee, Green",2007,10320
"413","Corn",2007,338295000
"414","Cotton",2007,4223852.196
"415","Dairy, Milk, Fluid",2007,84211000
"416","Filberts, Inshell Basis",2007,33600
"417","Fresh Apricots",2007,73500
"418","Fresh Cherries,(Sweet&Sour)",2007,407880
"419","Fresh Peaches & Nectarines",2007,1269061
"420","Fresh Plums & Prunes",2007,352895
"421","Grapefruit, Fresh",2007,1423000
"422","Grapes, Fresh",2007,834909
"423","Honey",2007,66959.40939
"424","Lemons/Limes, Fresh",2007,638000
"425","Macadamia, Inshell Basis",2007,16330
"426","Meat, Beef and Veal",2007,12168000
"427","Meat, Chicken",2007,16452000
"428","Meat, Swine",2007,9962000
"429","Oats",2007,1597000
"430","Oil, Cottonseed",2007,392000
"431","Oil, Olive",2007,2000
"432","Oil, Peanut",2007,78000
"433","Oil, Rapeseed",2007,507000
"434","Oil, Soybean",2007,9682000
"435","Oil, Sunflowerseed",2007,299000
"436","Orange Juice",2007,830819
"437","Oranges, Fresh",2007,9237000
"438","Pears, Fresh",2007,798200
"439","Pecans, Inshell Basis",2007,290300
"440","Pistachios, Inshell Basis",2007,188694
"441","Poultry, Meat, Turkey",2007,2667000
"442","Raisins",2007,326600
"443","Rice, Milled",2007,6344000
"444","Rye",2007,206000
"445","Sorghum",2007,13073000
"446","Sugar, Centrifugal",2007,7727000
"447","Tangerines/Mandarins, Fresh",2007,540000
"448","Walnuts, Inshell Basis",2007,297600
"449","Wheat",2007,59156000
"450","Almonds, Shelled Basis",2008,739400
"451","Apples, Fresh",2008,4508344
"452","Avocados, Fresh",2008,0
"453","Barley",2008,5230000
"454","Coffee, Green",2008,10260
"455","Corn",2008,312126000
"456","Cotton",2008,3157002.93
"457","Dairy, Milk, Fluid",2008,86410000
"458","Filberts, Inshell Basis",2008,30800
"459","Fresh Apricots",2008,78930
"460","Fresh Cherries,(Sweet&Sour)",2008,321315
"461","Fresh Peaches & Nectarines",2008,1302563
"462","Fresh Plums & Prunes",2008,381120
"463","Grapefruit, Fresh",2008,1240000
"464","Grapes, Fresh",2008,893758
"465","Honey",2008,73922.46948
"466","Lemons/Limes, Fresh",2008,862000
"467","Meat, Beef and Veal",2008,12226000
"468","Meat, Chicken",2008,16815000
"469","Meat, Swine",2008,10684000
"470","Oats",2008,1348000
"471","Oil, Cottonseed",2008,386000
"472","Oil, Olive",2008,2000
"473","Oil, Peanut",2008,94000
"474","Oil, Rapeseed",2008,505000
"475","Oil, Soybean",2008,9514000
"476","Oil, Sunflowerseed",2008,297000
"477","Orange Juice",2008,772400
"478","Oranges, Fresh",2008,8487000
"479","Pears, Fresh",2008,789200
"480","Pecans, Inshell Basis",2008,92560
"481","Pistachios, Inshell Basis",2008,126100
"482","Poultry, Meat, Turkey",2008,2801000
"483","Raisins",2008,354100
"484","Rice, Milled",2008,6617000
"485","Rye",2008,211000
"486","Sorghum",2008,12087000
"487","Sugar, Centrifugal",2008,7665000
"488","Tangerines/Mandarins, Fresh",2008,520000
"489","Walnuts, Inshell Basis",2008,395500
"490","Wheat",2008,68363000
"491","Almonds, Shelled Basis",2009,639570
"492","Apples, Fresh",2009,4505000
"493","Barley",2009,4951000
"494","Coffee, Green",2009,10200
"495","Corn",2009,334052000
"496","Cotton",2009,2925779.68092
"497","Dairy, Milk, Fluid",2009,86817000
"498","Filberts, Inshell Basis",2009,42640
"499","Fresh Cherries,(Sweet&Sour)",2009,495346
"500","Fresh Peaches & Nectarines",2009,1194354
"501","Grapefruit, Fresh",2009,1123000
"502","Grapes, Fresh",2009,851856
"503","Honey",2009,65801.39412
"504","Lemons/Limes, Fresh",2009,8e+05
"505","Meat, Beef and Veal",2009,12203000
"506","Meat, Chicken",2009,16162000
"507","Meat, Swine",2009,10507000
"508","Oats",2009,1354000
"509","Oil, Cottonseed",2009,383000
"510","Oil, Olive",2009,3000
"511","Oil, Peanut",2009,71000
"512","Oil, Rapeseed",2009,498000
"513","Oil, Soybean",2009,8897000
"514","Oil, Sunflowerseed",2009,332000
"515","Orange Juice",2009,615000
"516","Oranges, Fresh",2009,7491000
"517","Pears, Fresh",2009,867120
"518","Pistachios, Inshell Basis",2009,161025
"519","Poultry, Meat, Turkey",2009,2733000
"520","Raisins",2009,304400
"521","Rice, Milled",2009,7163000
"522","Rye",2009,191000
"523","Sorghum",2009,9896000
"524","Sugar, Centrifugal",2009,7362000
"525","Tangerines/Mandarins, Fresh",2009,583000
"526","Walnuts, Inshell Basis",2009,396400
"527","Wheat",2009,60423000
"528","Almonds, Shelled Basis",2010,748430
"529","Apples, Fresh",2010,4219541
"530","Barley",2010,4137000
"531","Coffee, Green",2010,9600
"532","Corn",2010,339614000
"533","Cotton",2010,4109111.46882
"534","Dairy, Milk, Fluid",2010,87488000
"535","Filberts, Inshell Basis",2010,25400
"536","Fresh Cherries,(Sweet&Sour)",2010,367000
"537","Fresh Peaches & Nectarines",2010,1237219
"538","Grapefruit, Fresh",2010,1139000
"539","Grapes, Fresh",2010,900934
"540","Honey",2010,79511.60546
"541","Lemons/Limes, Fresh",2010,853000
"542","Meat, Beef and Veal",2010,12048000
"543","Meat, Chicken",2010,16791000
"544","Meat, Swine",2010,10187000
"545","Oats",2010,1306000
"546","Oil, Cottonseed",2010,379000
"547","Oil, Olive",2010,5000
"548","Oil, Peanut",2010,86000
"549","Oil, Rapeseed",2010,546000
"550","Oil, Soybean",2010,8659000
"551","Oil, Sunflowerseed",2010,306000
"552","Orange Juice",2010,660075
"553","Oranges, Fresh",2010,8078000
"554","Pears, Fresh",2010,774477
"555","Pistachios, Inshell Basis",2010,236775
"556","Poultry, Meat, Turkey",2010,2607000
"557","Raisins",2010,358200
"558","Rice, Milled",2010,7975000
"559","Rye",2010,190000
"560","Sorghum",2010,9740000
"561","Sugar, Centrifugal",2010,7326000
"562","Tangerines/Mandarins, Fresh",2010,643000
"563","Walnuts, Inshell Basis",2010,462660
"564","Wheat",2010,61641000
"565","Almonds, Shelled Basis",2011,920800
"566","Apples, Fresh",2011,4231474
"567","Barley",2011,3810000
"568","Coffee, Green",2011,6600
"569","Corn",2011,343043000
"570","Cotton",2011,3919038.12
"571","Dairy, Milk, Fluid",2011,89020000
"572","Filberts, Inshell Basis",2011,37200
"573","Fresh Cherries,(Sweet&Sour)",2011,404660
"574","Fresh Peaches & Nectarines",2011,1210412
"575","Grapefruit, Fresh",2011,1061000
"576","Grapes, Fresh",2011,896916
"577","Honey",2011,66768.90159
"578","Lemons/Limes, Fresh",2011,771000
"579","Meat, Beef and Veal",2011,12048000
"580","Meat, Chicken",2011,16931000
"581","Meat, Swine",2011,10332000
"582","Oats",2011,1045000
"583","Oil, Cottonseed",2011,379000
"584","Oil, Olive",2011,6000
"585","Oil, Peanut",2011,86000
"586","Oil, Rapeseed",2011,578000
"587","Oil, Soybean",2011,8979000
"588","Oil, Sunflowerseed",2011,267000
"589","Orange Juice",2011,688640
"590","Oranges, Fresh",2011,8180000
"591","Pears, Fresh",2011,875533
"592","Pistachios, Inshell Basis",2011,203150
"593","Poultry, Meat, Turkey",2011,2593000
"594","Raisins",2011,348631
"595","Rice, Milled",2011,6771000
"596","Rye",2011,170000
"597","Sorghum",2011,8128000
"598","Sugar, Centrifugal",2011,7607000
"599","Tangerines/Mandarins, Fresh",2011,635000
"600","Walnuts, Inshell Basis",2011,440000
"601","Wheat",2011,57319000
"602","Almonds, Shelled Basis",2012,952500
"603","Apples, Fresh",2012,4200000
"604","Barley",2012,4812000
"605","Coffee, Green",2012,6300
"606","Corn",2012,375683000
"607","Cotton",2012,3843052.32534
"608","Dairy, Milk, Fluid",2012,91010000
"609","Filberts, Inshell Basis",2012,36300
"610","Fresh Cherries,(Sweet&Sour)",2012,418135
"611","Fresh Peaches & Nectarines",2012,1099300
"612","Grapefruit, Fresh",2012,1092000
"613","Grapes, Fresh",2012,908000
"614","Honey",2012,63914.00613
"615","Lemons/Limes, Fresh",2012,827000
"616","Meat, Beef and Veal",2012,11855000
"617","Meat, Chicken",2012,16856000
"618","Meat, Swine",2012,10575000
"619","Oats",2012,1089000
"620","Oil, Cottonseed",2012,377000
"621","Oil, Olive",2012,10000
"622","Oil, Peanut",2012,108000
"623","Oil, Rapeseed",2012,626000
"624","Oil, Soybean",2012,8990000
"625","Oil, Sunflowerseed",2012,248000
"626","Orange Juice",2012,662719
"627","Oranges, Fresh",2012,8014000
"628","Pears, Fresh",2012,796338
"629","Pistachios, Inshell Basis",2012,249929
"630","Poultry, Meat, Turkey",2012,2675000
"631","Raisins",2012,313795
"632","Rice, Milled",2012,6356000
"633","Rye",2012,192000
"634","Sorghum",2012,8636000
"635","Sugar, Centrifugal",2012,7700000
"636","Tangerines/Mandarins, Fresh",2012,664000
"637","Walnuts, Inshell Basis",2012,450871
"638","Wheat",2012,61755000
